run,E_modulus,func_ratio,cell_surface_coverage,cell_sense_distance,R_func_mean,R_inert_mean,Lxy,Lz,N_est,constraint
158,19.3215,0.775704,1.32985,42.436,64.9234,99.7584,859,859,325,min_image
159,46.8912,0.627485,0.781013,29.5578,73.078,106.218,928,906,250,N_target
160,41.0697,0.823645,0.670481,64.3068,97.5058,43.5114,850,850,311,min_image
161,3.49875,0.747897,1.1898,59.5856,112.007,46.9107,949,949,425,min_image
162,47.6881,0.61387,0.663006,41.4874,118.669,50.884,998,998,547,min_image
163,32.3323,0.303923,1.09225,22.2947,57.6119,57.5667,723,546,250,N_target
164,15.3678,0.95041,1.20207,22.8074,112.533,56.3517,1290,952,250,N_target
165,25.153,0.444805,1.10432,59.1597,78.798,91.7128,1072,799,249,N_target
166,8.11382,0.652304,0.974252,26.4419,114.343,104.064,1442,966,250,N_target
167,16.5157,0.860785,0.688707,27.3657,76.0786,69.9614,963,683,250,N_target
168,23.3264,0.305694,1.28674,57.7537,43.6143,62.3378,627,581,251,N_target
169,39.4369,0.702402,0.551225,42.8577,57.2001,114.183,965,965,594,min_image
170,3.34556,0.387695,0.741918,41.8295,72.2016,86.8962,999,763,250,N_target
171,33.1036,0.97263,1.37553,26.1548,51.9593,48.7169,644,505,250,N_target
172,38.6456,0.492502,1.23254,63.5897,95.4581,89.3582,1186,834,250,N_target
173,42.3068,0.405341,1.46578,39.6479,49.1484,50.4749,614,494,251,N_target
174,19.602,0.637535,0.790117,51.3287,113.136,93.7362,1332,957,250,N_target
175,9.80299,0.698152,1.38126,53.0209,119.917,107.135,1511,1007,250,N_target
176,5.58685,0.748331,0.610535,52.524,117.464,58.0097,990,990,284,min_image
177,36.1605,0.754715,1.40426,31.8659,91.506,118.81,1150,999,250,N_target
178,17.6723,0.832766,0.950697,75.293,73.6056,47.543,768,695,250,N_target
179,4.13718,0.933626,0.946194,67.7477,98.7241,112.39,1233,967,250,N_target
180,24.4746,0.439574,0.915733,40.3725,87.6754,92.3415,1169,803,251,N_target
181,34.1658,0.578267,0.645793,78.668,63.7909,56.6776,723,630,250,N_target
182,8.80654,0.31688,1.35918,28.5215,92.0232,75.2808,965,801,250,N_target
183,11.7497,0.894831,1.47413,40.9057,96.0713,88.6742,1246,831,250,N_target
184,17.3336,0.330813,1.49731,23.1175,100.898,49.2988,867,867,643,uncappable
185,18.1392,0.233436,1.1706,33.2725,40.5619,59.5183,612,560,250,N_target
186,12.0742,0.352483,0.967914,55.8853,110.285,64.6627,936,936,364,min_image
187,41.9217,0.709529,0.832483,68.3973,42.2467,65.6115,622,622,421,min_image
188,31.5387,0.61118,1.38645,28.3733,74.6587,104.867,962,896,250,N_target
189,21.7692,0.400989,0.765704,70.9563,54.285,45.2828,554,544,250,N_target
190,37.8711,0.467882,1.22707,34.0566,75.7216,83.8786,1010,741,250,N_target
191,36.9703,0.992166,1.28317,45.7587,99.8924,66.1204,1305,859,250,N_target
192,38.0872,0.661243,0.72338,25.8015,87.419,85.9182,1131,767,250,N_target
193,28.3205,0.827332,0.816582,75.1763,52.7113,117.765,1022,1022,1027,uncappable
194,48.6218,0.807994,1.18347,47.8463,69.5447,59.9933,846,634,250,N_target
195,8.62309,0.246793,0.621966,55.4188,75.1607,74.9119,965,676,250,N_target
196,4.3383,0.323625,0.995763,48.3766,108.134,98.7155,1302,920,250,N_target
197,14.9881,0.553862,0.770611,48.1423,92.6604,102.902,1239,881,250,N_target
198,29.0792,0.397039,0.606953,62.2363,88.97,98.8495,1213,856,251,N_target
199,3.76436,0.575392,1.01896,20.4269,58.8424,97.9675,845,845,330,min_image
200,39.6414,0.480442,0.829937,70.54,68.863,71.9662,881,674,250,N_target
